cart_value,shipping_cost,has_discount_int,device_encoded,traffic_source_encoded,products_viewed,time_on_page_seconds,actual_abandoned,predicted_abandoned,abandonment_probability
184.72,17.16,1,2,3,11,387,0,1,0.5428772439439691
293.97,4.77,0,1,3,3,270,0,1,0.5052826003606531
316.15,10.45,0,1,0,1,334,1,1,0.5069877466119974
191.9,13.42,0,1,3,11,18,0,1,0.6311065334108716
288.34,23.11,0,0,3,14,277,1,1,0.5587983086966911
100.68,19.5,0,1,3,10,437,0,1,0.6360137175273696
216.21,22.86,1,1,4,4,516,1,1,0.5328282160849981
266.63,23.07,0,1,3,2,520,0,1,0.6259436586841702
244.34,15.85,0,1,1,11,11,1,1,0.6489099421026883
110.51,22.66,0,1,1,2,203,0,1,0.6318646199885373
389.27,16.62,0,1,4,5,419,0,1,0.5557378946572229
299.87,20.68,0,0,2,9,304,1,1,0.5327771003912568
470.73,24.02,0,1,3,4,409,1,1,0.5610012869894468
129.63,19.0,0,0,4,7,16,0,1,0.5260132498548468
112.34,14.64,0,1,2,7,390,0,1,0.6002637030944257
264.72,24.73,0,1,1,4,395,1,1,0.623566806215187
240.14,12.34,0,1,0,5,254,1,1,0.5883558213843615
58.05,15.18,0,0,0,13,79,0,1,0.5344602948572333
401.19,24.42,1,1,3,14,38,0,1,0.5590720715761528
94.02,15.26,0,0,0,1,481,0,1,0.5070189184826082
181.3,15.31,0,2,4,6,159,0,1,0.5874107868200381
29.64,16.72,0,0,3,10,96,0,1,0.577438987247457
190.55,15.49,0,0,3,10,156,0,1,0.5699762699680805
164.68,8.32,0,1,4,4,538,1,1,0.5358062990304922
226.25,21.42,0,0,4,5,12,1,1,0.5112581397165733
295.81,23.01,0,0,3,7,551,0,1,0.5651698984820074
42.5,17.66,0,0,4,12,555,0,1,0.5990748790719873
262.01,17.44,0,1,4,7,253,1,1,0.6168334489648664
152.07,11.8,0,1,3,5,513,1,1,0.6126241543755735
269.39,1.36,0,1,4,4,347,1,1,0.5098042248334093
414.51,15.31,0,1,0,4,298,0,1,0.5623374916926486
66.91,22.43,0,1,1,14,567,0,1,0.6312826552928155
250.09,13.25,0,1,1,7,569,1,1,0.5916275440436504
165.69,15.64,0,0,3,6,192,1,1,0.58179952148487
229.31,9.43,0,1,2,12,296,0,1,0.5033307342107616
118.72,19.16,0,1,2,2,400,0,1,0.641307950045192
158.5,18.03,0,1,2,14,433,1,1,0.6374781036012431
203.97,21.39,0,0,3,5,35,0,1,0.5540476651253659
127.95,14.01,0,1,1,4,265,1,1,0.6032175033678142
249.96,22.8,0,1,4,11,354,1,1,0.6180381708488827
322.1,22.3,0,1,2,3,108,1,1,0.5371906405070892
102.37,17.13,0,2,0,7,335,1,1,0.5987473011436505
229.32,18.39,0,1,3,9,284,1,1,0.6270013536389256
328.32,19.45,0,2,3,9,223,1,1,0.5209322579082641
365.6,21.85,0,1,2,4,499,1,1,0.572619494536311
123.52,20.31,0,0,2,9,518,1,1,0.5810609393561584
229.47,23.96,0,1,2,8,583,0,1,0.6241613487603956
256.41,22.87,0,0,0,6,421,1,1,0.5550437755343264
345.28,18.56,0,1,4,12,130,0,1,0.5525569323849233
226.68,12.1,0,1,3,1,112,0,1,0.5859030113353598
22.43,17.94,0,0,3,9,168,1,1,0.6212639844077246
270.01,20.13,0,1,2,10,556,1,1,0.6303097063684533
71.81,10.25,0,1,3,1,171,1,1,0.57622160126806
272.54,21.84,0,0,4,1,67,1,1,0.5742851275925839
222.01,24.38,0,2,2,8,587,1,1,0.6044697807040597
39.33,22.71,0,0,3,12,195,1,1,0.6310793017487599
164.22,20.09,0,0,1,4,135,0,1,0.5769743381770924
162.0,20.3,0,0,2,14,338,1,1,0.5404130863340799
405.57,15.37,1,1,4,14,224,0,1,0.5221890174406351
272.81,18.74,0,0,2,1,263,0,1,0.5727348063048222
249.21,14.1,0,1,2,6,23,1,1,0.6318298956608399
202.37,3.41,0,1,4,8,243,1,1,0.5343391020263375
67.57,20.98,0,1,1,11,422,1,1,0.647437820954963
194.62,0.84,0,1,4,11,29,1,1,0.5292479737467987
157.64,19.78,0,0,2,2,130,1,1,0.5716620439017163
428.8,18.41,0,1,2,4,33,0,1,0.5100392021790665
361.47,16.42,0,2,4,8,53,0,1,0.5177050514870202
118.09,10.2,0,1,1,10,518,1,1,0.5632833266485932
92.22,10.8,0,1,2,10,427,0,1,0.6085690337541565
296.54,23.37,1,1,4,11,521,0,1,0.5785003019908137
225.55,0.15,0,1,2,7,339,0,1,0.5735962168155121
421.09,11.15,0,1,0,3,57,1,1,0.5174836868798858
303.78,18.49,0,1,3,5,105,1,1,0.5574614775548042
310.13,12.67,0,1,0,13,565,1,1,0.5075278469372755
136.7,5.44,0,1,2,6,512,1,1,0.5084308584022535
264.07,21.44,0,1,4,7,375,1,1,0.58872727295129
158.82,22.4,0,0,4,11,562,1,1,0.5931796140253671
173.38,18.01,0,0,2,1,50,0,1,0.5621210563174346
264.04,22.31,0,0,0,14,595,1,1,0.5675067958251975
469.02,23.84,1,2,2,13,304,0,1,0.506852339125806
147.28,10.86,0,0,4,14,96,0,1,0.5463143033540812
171.9,21.97,0,1,2,8,161,0,1,0.6322534821576777
65.11,20.08,0,0,2,12,175,1,1,0.618828886933177
60.39,20.37,0,1,0,4,539,1,1,0.6385012743275266
133.84,17.31,0,0,4,5,550,1,1,0.5810527530805283
280.65,24.41,0,0,1,3,580,1,1,0.5339995563743114
34.56,0.61,0,1,4,7,228,0,1,0.5086091962527569
134.9,15.94,0,1,2,11,26,1,1,0.655246386637479
121.96,15.46,0,0,3,2,449,0,1,0.5346948662484565
110.83,21.01,0,1,3,14,424,0,1,0.6268738085116194
472.44,17.7,0,1,1,7,18,0,1,0.5184483867227714
245.03,22.72,1,1,1,13,150,1,1,0.5404992582992945
466.25,16.31,0,1,3,11,103,1,1,0.537645932961756
117.76,14.03,0,1,3,2,246,1,1,0.5981337715158842
290.76,5.35,0,1,1,12,567,0,1,0.5567510872451845
261.23,4.65,0,1,0,11,116,1,1,0.5177948698261118
295.92,11.77,0,2,3,13,238,1,1,0.5489041114962824
132.21,17.3,0,0,3,5,206,1,1,0.6099681491424989
264.59,20.78,0,0,2,9,306,0,1,0.5405050819291145
298.22,17.2,1,1,3,4,112,1,1,0.5176673744504157
387.57,15.43,0,1,4,2,140,1,1,0.5596476295594006
293.85,16.57,0,1,0,6,442,1,1,0.6720535021512474
476.13,22.34,0,2,3,9,416,0,1,0.5400821641549399
296.67,17.68,0,0,0,12,483,1,1,0.540345999785095
113.13,15.19,0,1,3,10,415,1,1,0.6547823490948117
371.44,14.93,0,1,4,6,395,0,1,0.5544719993339957
25.31,18.68,1,1,4,8,394,1,1,0.5312215282836842
430.63,24.31,0,2,3,11,171,1,1,0.5931857587983062
469.84,24.97,0,0,0,2,137,0,1,0.5887219503927485
404.52,19.09,0,1,1,8,516,1,1,0.542755081252593
152.48,9.2,0,1,4,14,333,1,1,0.522748739365042
133.56,12.64,0,1,1,8,237,0,1,0.6070516897007837
159.98,19.2,0,1,3,6,413,0,1,0.6364208514929579
283.09,14.66,0,1,4,8,532,0,1,0.5652580493646419
412.2,11.54,0,2,1,8,589,1,1,0.5280526928224298
408.69,21.91,1,1,3,14,577,1,1,0.5166015899293149
468.23,17.78,1,1,4,14,504,0,1,0.5076880383700175
94.66,2.53,0,1,3,10,209,0,1,0.525289618231328
338.1,23.3,0,1,0,9,98,1,1,0.574891027998951
71.94,14.64,0,1,0,13,407,1,1,0.6139182123424352
287.89,21.36,0,1,2,7,397,0,1,0.6484795043358632
137.32,13.54,0,1,2,6,69,0,1,0.5942044652836643
277.8,23.65,0,1,0,8,91,1,1,0.6371323042163732
204.58,16.74,0,0,2,1,387,1,1,0.5469663585033132
23.32,6.05,0,2,4,3,105,1,1,0.5218015676954635
147.89,13.07,0,0,2,2,266,1,1,0.5297484215578951
72.84,22.06,1,1,2,7,517,1,1,0.5567502150948412
150.52,22.91,0,1,0,9,52,0,1,0.6463955883746445
179.43,1.03,0,2,0,10,582,1,1,0.5447862259814343
105.06,24.08,0,2,1,9,100,1,1,0.5895323425440122
46.62,17.31,0,2,3,6,157,1,1,0.583620508092055
51.42,10.98,0,1,0,9,503,1,1,0.6231561413933904
247.16,0.84,0,1,3,9,189,0,1,0.5531166528277797
281.91,16.79,0,1,0,5,271,0,1,0.6452973089441312
146.04,17.52,0,0,1,6,487,0,1,0.574972741360686
75.99,21.6,0,1,2,5,287,1,1,0.6306187449788652
216.09,23.32,0,0,1,14,245,0,1,0.5224404023485834
100.17,24.0,0,0,2,9,563,1,1,0.5591506013807515
283.64,12.36,0,2,2,11,79,1,1,0.5617179224243593
215.93,15.89,0,0,0,8,430,0,1,0.5002764390714692
92.9,22.49,0,1,0,9,33,1,1,0.6471057596536888
494.69,11.01,0,1,2,7,489,0,1,0.5439600186112772
264.45,24.11,0,0,0,7,118,0,1,0.5835820492864499
224.0,13.06,0,1,1,13,194,1,1,0.557569244303358
221.14,16.55,1,1,1,8,143,1,1,0.5179265835325618
442.65,20.14,0,1,3,5,509,0,1,0.5246240879773195
82.99,12.04,0,1,0,2,267,1,1,0.5949252251786631
261.71,5.27,0,1,1,14,449,1,1,0.5168235632627279
287.4,12.73,0,1,3,5,93,0,1,0.6080238127662632
269.78,18.68,0,1,1,11,459,1,1,0.6670171194467263
43.78,15.97,0,2,3,7,189,1,1,0.5469261333991945
20.93,23.9,0,1,1,8,184,0,1,0.6154407769914991
109.06,21.63,0,1,3,6,16,0,1,0.6598140689747756
418.45,14.62,0,1,1,7,114,1,1,0.5059961759348557
131.78,4.07,0,1,4,2,365,0,1,0.5051297380778433
328.34,21.56,0,1,3,7,203,1,1,0.5529299720479411
210.71,19.82,0,1,4,4,579,1,1,0.6059657587808084
144.1,18.75,0,0,3,12,536,1,1,0.5796439457118495
77.05,21.84,0,0,2,9,332,1,1,0.5823525488226928
374.1,17.08,0,1,2,7,136,1,1,0.5578125796404976
67.82,16.81,0,1,0,11,169,1,1,0.6275753374124479
222.03,5.32,0,1,2,7,491,0,1,0.5140558913771132
50.21,13.22,0,2,0,9,170,0,1,0.5182269410043546
96.12,15.55,0,1,0,3,526,1,1,0.6432086778245811
334.19,14.4,0,1,0,8,311,1,1,0.5114847987714252
187.81,5.21,0,1,0,11,240,0,1,0.5259944925279556
132.64,23.74,0,0,3,6,274,1,1,0.5930495545246349
56.9,10.49,0,1,4,3,580,0,1,0.6497969146959754
174.39,10.7,0,1,2,7,131,0,1,0.6112851684434342
202.34,19.49,0,1,3,8,428,1,1,0.6293701588338622
128.95,23.62,0,1,2,13,72,0,1,0.6111935836605822
44.7,15.92,0,0,2,1,51,0,1,0.5648032599563295
380.99,22.73,0,0,0,4,35,0,1,0.5111637531090685
58.42,19.57,0,1,2,6,272,1,1,0.6270753560079017
163.99,16.34,0,0,2,5,462,1,1,0.5452022830498032
133.04,9.57,0,1,4,4,349,1,1,0.5099465514774869
378.96,21.75,0,1,3,9,294,0,1,0.5982867083220701
162.01,3.34,0,1,2,11,569,0,1,0.5418678257180541
265.99,13.63,0,1,2,12,592,1,1,0.6213875656416219
243.38,11.4,0,0,1,1,178,1,1,0.5392797138233221
58.41,8.99,0,1,1,5,540,1,1,0.5272081295553903
269.67,20.12,0,0,0,5,54,1,1,0.5545237690217187
104.2,19.3,0,1,0,9,407,1,1,0.6562451395488367
394.19,20.54,0,1,2,14,511,1,1,0.5326819510363657
270.99,21.46,0,0,3,1,383,0,1,0.5479217080127533
344.86,16.4,0,1,1,10,72,1,1,0.5593568072952418
356.54,23.28,0,1,1,12,562,0,1,0.5493171480721752
159.05,21.12,0,0,1,3,394,0,1,0.554265099507517
174.43,22.95,0,1,0,4,107,1,1,0.6430427768111174
125.08,22.07,1,1,4,12,134,1,1,0.6045647516838801
302.72,12.9,0,1,4,9,363,0,1,0.5016234528608848
188.89,1.19,0,1,2,8,126,0,1,0.5351031312774875
171.47,0.09,0,1,2,10,496,0,1,0.5397836536162989
264.15,20.05,1,1,0,14,318,0,1,0.5249036983469693
116.89,15.24,1,1,3,8,201,1,1,0.5517239081903531
77.81,22.19,0,2,0,14,27,1,1,0.6050110172622073
64.4,18.47,0,1,4,11,446,1,1,0.6418835938266153
313.43,22.15,0,2,3,5,39,0,1,0.5093160207685504
255.7,19.15,0,2,2,8,462,1,1,0.6091699982529726
234.35,18.61,0,0,4,4,347,1,1,0.5603744218311428
449.66,23.69,0,1,2,14,372,0,1,0.5278752216429198
182.97,7.77,0,1,0,2,469,0,1,0.5105408033129569
120.06,10.64,0,1,0,5,339,0,1,0.6255374911038324
462.13,17.48,0,2,1,7,106,1,1,0.517564901149877
123.48,22.17,1,1,2,7,548,1,1,0.5826865896424575
60.09,14.05,0,1,0,14,301,1,1,0.5804355430813688
227.66,0.04,0,1,3,10,175,1,1,0.5579102197221777
274.15,18.74,0,0,4,14,84,0,1,0.5564371599108092
245.38,21.82,0,1,4,8,157,1,1,0.6062525070900943
260.96,20.46,0,1,2,7,122,1,1,0.6166317132815602
469.8,19.73,0,1,1,9,312,0,1,0.5205716626442305
418.21,15.28,0,0,2,5,532,1,1,0.5064644115613445
92.05,24.2,0,0,4,4,95,1,1,0.6382831353701585
246.4,20.5,0,0,4,7,210,0,1,0.5797712555264904
290.83,20.58,0,0,3,7,404,1,1,0.5544240859055202
148.77,1.02,0,1,3,7,458,0,1,0.5164858396828695
24.64,22.73,0,1,0,11,354,1,1,0.6444334206741619
189.46,0.83,0,1,0,8,549,0,1,0.5616672332889892
51.35,14.38,0,1,1,1,407,0,1,0.6176250868748805
